GAME_ID,EVENT_ID,INN_CT,TOTAL_INN,HOME_TEAM,OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,RUNNER_FIRST,RUNNER_SECOND,RUNNER_THIRD,PIT_ID,FULL_NAME,made_save,IP,sit_id,succ_rate,save_dif,year
CLE201307080,84,10,10,0,0,2,4,0,0,0,benoj001,Joaquin Benoit,True,1.0,100201.0,96.2,1.0395010395010396,2013
CLE201307090,64,9,9,1,0,3,0,0,0,0,perec002,Chris Perez,True,1.0,090301.0,99.2,1.0080645161290323,2013
CLE201307110,69,9,9,1,0,4,1,0,0,0,perec002,Chris Perez,True,1.0,090301.0,99.2,1.0080645161290323,2013
CLE201307120,65,9,9,1,0,3,0,0,0,0,allec002,Cody Allen,True,1.0,090301.0,99.2,1.0080645161290323,2013
CLE201307130,75,9,9,1,0,5,3,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2013
CLE201307140,81,9,9,1,0,6,4,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2013
CLE201307260,75,8,11,1,0,8,6,0,0,0,smitj002,Joe Smith,False,1.0,080201.0,8.3,-1.0905125408942202,2013
CLE201307270,66,9,9,1,0,1,0,0,0,0,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2013
CLE201307300,72,9,9,1,0,7,4,0,0,0,perec002,Chris Perez,True,1.0,090301.0,99.2,1.0080645161290323,2013
CLE201307310,71,9,10,0,0,3,5,0,0,0,reeda001,Addison Reed,False,1.0,090201.0,97.3,-37.037037037036995,2013
CLE201308050,74,9,9,0,0,2,4,0,0,0,benoj001,Joaquin Benoit,True,1.0,090201.0,97.3,1.027749229188078,2013
CLE201308070,66,8,14,0,0,3,4,0,1,1,rondb001,Bruce Rondon,False,2.0,080122.0,33.3,-1.4992503748125936,2013
CLE201308070,113,14,14,0,0,4,6,0,0,0,benoj001,Joaquin Benoit,True,1.0,140201.0,85.7,1.1668611435239207,2013
CLE201308090,70,9,9,0,0,2,5,0,0,0,delad001,Dane DeLaRosa,True,1.0,090301.0,99.2,1.0080645161290323,2013
CLE201308110,79,9,9,1,0,6,5,0,0,0,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2013
CLE201308250,80,9,9,1,0,3,1,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2013
CLE201309040,72,9,9,1,0,6,4,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2013
