010315.0,1
020103.0,2
020105.33,1
020204.0,1
020402.33,1
022104.33,1
022105.0,1
022112.33,1
022122.67,1
022123.0,1
022202.33,1
022202.67,1
022323.67,1
030102.67,1
030103.67,1
030104.0,1
030105.0,1
030112.0,1
030124.0,1
030135.33,1
030202.33,1
030407.0,1
030503.67,1
030504.0,1
030513.67,1
030531.33,1
031113.33,1
031122.67,1
031131.33,1
031215.67,1
031313.0,1
031315.67,1
032101.67,1
032112.0,1
032121.33,1
032122.33,1
032201.33,1
032221.33,1
032223.33,1
032312.67,1
032511.33,1
040102.0,3
040102.33,1
040102.67,1
040103.0,2
040104.67,1
040111.0,1
040111.67,1
040112.0,1
040112.33,1
040121.0,2
040122.0,3
040123.0,1
040123.33,1
040201.0,1
040203.0,1
040203.67,1
040204.0,1
040211.0,1
040221.67,1
040222.67,1
040224.0,1
040232.33,1
040233.0,1
040301.0,1
040302.67,1
040304.0,1
040305.0,1
040313.0,1
040324.0,1
040401.0,1
040401.67,1
040403.0,1
040404.0,1
040501.33,1
040503.0,1
040505.0,1
040601.67,1
040602.0,1
041111.67,2
041121.67,1
0411221.67,1
041124.67,2
041132.67,1
041202.0,1
041202.67,1
041211.67,1
041212.67,1
041222.67,2
041223.67,1
041231.33,1
041232.67,1
041233.0,1
041321.67,1
041322.67,2
041324.67,1
041325.67,1
041421.67,1
041422.67,1
041522.67,1
042112.67,1
042121.33,1
042122.33,1
042123.0,1
042123.33,1
042131.67,1
042133.33,1
042134.33,1
042202.0,1
042211.33,2
042212.33,1
042213.33,1
042221.0,1
042221.33,1
042222.33,1
042315.33,1
042322.67,1
042323.0,1
042332.33,1
042412.33,1
042503.33,1
042523.33,1
042613.0,1
050102.0,3
050102.33,1
050102.67,2
050103.0,2
050104.0,1
050111.0,1
050111.33,1
050111.67,1
050121.33,2
050122.67,1
050123.0,2
0501304.0,1
050132.0,1
050201.0,3
050201.67,1
050202.0,3
050203.0,5
050211.33,1
050211.67,1
050212.0,1
050213.0,1
050221.33,1
050222.0,1
050222.33,1
050225.0,1
050231.0,1
050301.0,1
050301.33,1
050302.0,1
050302.33,1
050303.0,2
050304.0,2
050312.0,1
050313.0,1
050322.0,1
050322.67,1
050331.0,1
050332.67,1
050401.0,2
050402.67,1
050422.33,2
050423.0,1
050431.0,1
050431.33,1
